"Comp","In","Type","Date","Round","Match","Score","Tries","Points","Adv","Time","Adv"
"S12","NZL",NA,"Sat, 31 May 1997","Final","Blues v Brumbies","23-7","2:1","4-0","Auckland",NA,"13+"
"S12","AUS",NA,"Sat, 24 May 1997","Semi","Brumbies v Hurricanes","33-20","5:2","5-0","Canberra",NA,"13+"
"S12","NZL",NA,"Fri, 23 May 1997","Semi","Blues v Natal","55-36","8:6","5-1","Auckland",NA,"13+"
"S12","NZL",NA,"Sun, 18 May 1997","12","Hurricanes v Brumbies","29-35","3:5","1-5","Wellington",NA,"-12"
"S12","SAF",NA,"Sat, 17 May 1997","12","Gauteng Lions v Natal","42-8","5:1","5-0","Johannesburg",NA,"13+"
"S12","AUS",NA,"Sat, 17 May 1997","12","Waratahs v Blues","20-34","2:4","0-5","Sydney",NA,"13+"
"S12","NZL",NA,"Sat, 17 May 1997","12","Crusaders v Reds","48-3","6:0","5-0","Christchurch",NA,"13+"
"S12","SAF",NA,"Fri, 16 May 1997","12","Northern Transvaal v Free State","23-35","3:5","0-5","Pretoria",NA,"-12"
"S12","NZL",NA,"Fri, 16 May 1997","12","Chiefs v Highlanders","18-34","2:3","0-4","Taupo",NA,"13+"
"S12","AUS",NA,"Fri, 09 May 1997","11","Brumbies v Chiefs","48-34","7:4","5-1","Canberra",NA,"13+"
"S12","NZL",NA,"Fri, 09 May 1997","11","Highlanders v Waratahs","16-27","1:3","0-4","Dunedin",NA,"-12"
"S12","SAF",NA,"Sun, 11 May 1997","11","Natal v Northern Transvaal","27-27","4:3","3-2","Durban",NA,"0"
"S12","SAF",NA,"Sat, 10 May 1997","11","Free State v Crusaders","11-16","1:1","1-4","Bloemfontein",NA,"-12"
"S12","AUS",NA,"Sat, 10 May 1997","11","Reds v Gauteng Lions","40-27","5:4","5-1","Brisbane",NA,"13+"
"S12","NZL",NA,"Sat, 10 May 1997","11","Blues v Hurricanes","45-42","6:5","5-2","Auckland",NA,"-12"
"S12","SAF",NA,"Sat, 03 May 1997","10","Northern Transvaal v Crusaders","23-22","2:3","4-1","Pretoria",NA,"-12"
"S12","AUS",NA,"Sat, 03 May 1997","10","Reds v Natal","40-3","6:0","5-0","Brisbane",NA,"13+"
"S12","NZL",NA,"Sat, 03 May 1997","10","Highlanders v Blues","28-45","4:7","1-5","Dunedin",NA,"13+"
"S12","NZL",NA,"Sat, 03 May 1997","10","Chiefs v Gauteng Lions","47-9","5:0","5-0","Hamilton",NA,"13+"
"S12","NZL",NA,"Fri, 02 May 1997","10","Hurricanes v Waratahs","19-3","3:0","4-0","Napier",NA,"13+"
"S12","NZL",NA,"Sun, 27 Apr 1997","9","Blues v Natal","39-17","5:2","5-0","Auckland",NA,"13+"
"S12","SAF",NA,"Sat, 26 Apr 1997","9","Free State v Chiefs","27-13","4:1","5-0","Bloemfontein",NA,"13+"
"S12","AUS",NA,"Sat, 26 Apr 1997","9","Brumbies v Waratahs","56-9","8:0","5-0","Canberra",NA,"13+"
"S12","NZL",NA,"Sat, 26 Apr 1997","9","Hurricanes v Highlanders","60-34","9:5","5-1","Wellington",NA,"13+"
"S12","NZL",NA,"Fri, 25 Apr 1997","9","Crusaders v Gauteng Lions","23-0","3:0","4-0","Christchurch",NA,"13+"
"S12","NZL",NA,"Sun, 20 Apr 1997","8","Hurricanes v Free State","59-30","8:3","5-0","Wellington",NA,"13+"
"S12","SAF",NA,"Sat, 19 Apr 1997","8","Northern Transvaal v Chiefs","34-27","4:2","5-1","Pretoria",NA,"-12"
"S12","AUS",NA,"Sat, 19 Apr 1997","8","Waratahs v Reds","16-26","1:3","0-4","Sydney",NA,"-12"
"S12","NZL",NA,"Sat, 19 Apr 1997","8","Crusaders v Natal","26-26","2:4","2-3","Christchurch",NA,"0"
"S12","NZL",NA,"Sat, 19 Apr 1997","8","Blues v Gauteng Lions","63-22","10:3","5-0","Auckland",NA,"13+"
"S12","NZL",NA,"Fri, 18 Apr 1997","8","Highlanders v Brumbies","9-15","0:2","1-4","Invercargill",NA,"-12"
"S12","SAF",NA,"Sat, 12 Apr 1997","7","Gauteng Lions v Northern Transvaal","16-16","1:2","2-2","Johannesburg",NA,"0"
"S12","AUS",NA,"Sat, 12 Apr 1997","7","Waratahs v Free State","36-11","5:1","5-0","Sydney",NA,"13+"
"S12","AUS",NA,"Sat, 12 Apr 1997","7","Reds v Hurricanes","29-47","2:6","0-5","Brisbane",NA,"13+"
"S12","NZL",NA,"Sat, 12 Apr 1997","7","Highlanders v Crusaders","37-29","3:2","4-0","Dunedin",NA,"-12"
"S12","NZL",NA,"Sat, 12 Apr 1997","7","Blues v Brumbies","41-29","6:4","5-1","Auckland",NA,"-12"
"S12","NZL",NA,"Fri, 11 Apr 1997","7","Chiefs v Natal","15-33","2:3","0-4","Albany",NA,"13+"
"S12","AUS",NA,"Sun, 06 Apr 1997","6","Waratahs v Northern Transvaal","43-29","5:5","5-1","Sydney",NA,"13+"
"S12","AUS",NA,"Sat, 05 Apr 1997","6","Reds v Highlanders","37-24","4:3","5-0","Brisbane",NA,"13+"
"S12","SAF",NA,"Fri, 04 Apr 1997","6","Natal v Hurricanes","29-24","2:3","4-1","Durban",NA,"-12"
"S12","AUS",NA,"Fri, 04 Apr 1997","6","Brumbies v Free State","50-23","6:3","5-0","Canberra",NA,"13+"
"S12","NZL",NA,"Fri, 04 Apr 1997","6","Blues v Crusaders","29-28","2:3","4-1","Pukekohe",NA,"-12"
"S12","NZL",NA,"Mon, 31 Mar 1997","5","Blues v Reds","49-26","6:2","5-0","Auckland",NA,"13+"
"S12","NZL",NA,"Sun, 30 Mar 1997","5","Highlanders v Free State","18-49","0:7","0-5","Invercargill",NA,"13+"
"S12","SAF",NA,"Sat, 29 Mar 1997","5","Natal v Waratahs","28-23","1:2","4-1","Durban",NA,"-12"
"S12","SAF",NA,"Sat, 29 Mar 1997","5","Gauteng Lions v Hurricanes","35-37","4:3","2-4","Johannesburg",NA,"-12"
"S12","NZL",NA,"Sat, 29 Mar 1997","5","Crusaders v Chiefs","24-15","2:2","4-0","Timaru",NA,"-12"
"S12","AUS",NA,"Fri, 28 Mar 1997","5","Brumbies v Northern Transvaal","38-19","5:3","5-0","Canberra",NA,"13+"
"S12","SAF",NA,"Sat, 22 Mar 1997","4","Free State v Natal","45-40","3:5","4-2","Bloemfontein",NA,"-12"
"S12","SAF",NA,"Sat, 22 Mar 1997","4","Gauteng Lions v Waratahs","36-27","3:3","4-0","Johannesburg",NA,"-12"
"S12","AUS",NA,"Sat, 22 Mar 1997","4","Brumbies v Crusaders","49-29","6:5","5-1","Canberra",NA,"13+"
"S12","NZL",NA,"Sat, 22 Mar 1997","4","Highlanders v Northern Transvaal","27-7","2:1","4-0","Dunedin",NA,"13+"
"S12","NZL",NA,"Sat, 22 Mar 1997","4","Chiefs v Reds","31-16","3:1","4-0","Hamilton",NA,"13+"
"S12","SAF",NA,"Sun, 16 Mar 1997","3","Natal v Brumbies","35-26","4:4","5-1","Durban",NA,"-12"
"S12","NZL",NA,"Sun, 16 Mar 1997","3","Hurricanes v Northern Transvaal","64-32","8:4","5-1","New Plymouth",NA,"13+"
"S12","SAF",NA,"Sat, 15 Mar 1997","3","Free State v Reds","35-24","3:3","4-0","Bloemfontein",NA,"-12"
"S12","NZL",NA,"Sat, 15 Mar 1997","3","Chiefs v Blues","16-26","1:3","0-4","Albany",NA,"-12"
"S12","SAF",NA,"Fri, 14 Mar 1997","3","Gauteng Lions v Highlanders","47-29","5:4","5-1","Johannesburg",NA,"13+"
"S12","AUS",NA,"Fri, 14 Mar 1997","3","Waratahs v Crusaders","25-8","2:1","4-0","Sydney",NA,"13+"
"S12","SAF",NA,"Sun, 09 Mar 1997","2","Gauteng Lions v Brumbies","44-36","5:5","5-1","Johannesburg",NA,"-12"
"S12","SAF",NA,"Sat, 08 Mar 1997","2","Natal v Highlanders","75-43","9:6","5-1","Durban",NA,"13+"
"S12","SAF",NA,"Sat, 08 Mar 1997","2","Northern Transvaal v Reds","14-3","2:0","4-0","Pretoria",NA,"-12"
